id,name,party
0,SenatorBaldwin,0
1,SenJohnBarrasso,0
2,SenatorBennet,0
3,MarshaBlackburn,0
4,SenBlumenthal,0
5,RoyBlunt,0
6,CoryBooker,0
7,JohnBoozman,0
8,SenatorBraun,0
9,SenSherrodBrown,0
10,SenatorCantwell,0
11,SenCapito,0
12,SenatorCardin,0
13,SenatorCarper,0
14,SenBobCasey,0
15,SenBillCassidy,0
16,ChrisCoons,0
17,JohnCornyn,0
18,SenCortezMasto,0
19,SenTomCotton,0
20,SenKevinCramer,0
21,MikeCrapo,0
22,SenTedCruz,0
23,SteveDaines,0
24,SenDuckworth,0
25,SenatorDurbin,0
26,SenJoniErnst,0
27,SenFeinstein,0
28,SenatorFischer,0
29,SenGillibrand,0
30,LindseyGrahamSC,0
31,ChuckGrassley,0
32,SenatorHagerty,0
33,SenatorHassan,0
34,HawleyMO,0
35,MartinHeinrich,0
36,SenatorHick,0
37,maziehirono,0
38,SenJohnHoeven,0
39,SenHydeSmith,0
40,JimInhofe,0
41,SenRonJohnson,0
42,timkaine,0
43,SenMarkKelly,0
44,SenJohnKennedy,0
45,SenAngusKing,0
46,SenAmyKlobuchar,0
47,SenatorLankford,0
48,SenatorLeahy,0
49,SenMikeLee,0
50,SenatorLujan,0
51,SenLummis,0
52,Sen_JoeManchin,0
53,SenMarkey,0
54,SenatorMenendez,0
55,SenJeffMerkley,0
56,JerryMoran,0
57,lisamurkowski,0
58,ChrisMurphyCT,0
59,PattyMurray,0
60,ossoff,0
61,SenAlexPadilla,0
62,RandPaul,0
63,SenGaryPeters,0
64,senrobportman,0
65,SenJackReed,0
66,SenatorRisch,0
67,SenatorRomney,0
68,SenJackyRosen,0
69,marcorubio,0
70,SenSanders,0
71,SenSchumer,0
72,SenRickScott,0
73,SenatorTimScott,0
74,SenatorShaheen,0
75,SenatorSinema,0
76,SenTinaSmith,0
77,SenStabenow,0
78,SenDanSullivan,0
79,SenatorTester,0
80,SenJohnThune,0
81,SenThomTillis,0
82,SenToomey,0
83,SenTuberville,0
84,ChrisVanHollen,0
85,MarkWarner,0
86,SenatorWarnock,0
87,SenWarren,0
88,SenWhitehouse,0
89,SenatorWicker,0
90,RonWyden,0
91,SenToddYoung,0
92,RepAdams,0
93,Robert_Aderholt,0
94,RepPeteAguilar,0
95,RepRickAllen,0
96,RepColinAllred,0
97,RepArmstrongND,0
98,RepArrington,0
99,RepAuchincloss,0
100,RepCindyAxne,0
101,RepBrianBabin,0
102,RepDonBacon,0
103,RepJimBaird,0
104,RepBalderson,0
105,RepJimBanks,0
106,RepAndyBarr,0
107,RepBarragan,0
108,RepKarenBass,0
109,RepBeatty,0
110,RepBera,0
111,RepDonBeyer,0
112,RepBice,0
113,RepAndyBiggsAZ,0
114,RepGusBilirakis,0
115,SanfordBishop,0
116,RepDanBishop,0
117,RepLBR,0
118,RepBoebert,0
119,RepBonamici,0
120,RepBost,0
121,RepBourdeaux,0
122,RepBowman,0
123,CongBoyle,0
124,RepKevinBrady,0
125,RepMoBrooks,0
126,RepAnthonyBrown,0
127,RepShontelBrown,0
128,RepBrownley,0
129,VernBuchanan,0
130,RepKenBuck,0
131,RepLarryBucshon,0
132,RepTedBudd,0
133,RepTimBurchett,0
134,michaelcburgess,0
135,RepCori,0
136,RepCheri,0
137,RepKatCammack,0
138,RepCarbajal,0
139,RepCardenas,0
140,RepMikeCarey,0
141,RepJerryCarl,0
142,RepAndreCarson,0
143,RepBuddyCarter,0
144,JudgeCarter,0
145,RepTroyCarter,0
146,RepEdCase,0
147,RepCasten,0
148,USRepKCastor,0
149,JoaquinCastrotx,0
150,RepCawthorn,0
151,RepSteveChabot,0
152,RepLizCheney,0
153,CongresswomanSC,0
154,RepJudyChu,0
155,RepKClark,0
156,RepYvetteClarke,0
157,repcleaver,0
158,RepBenCline,0
159,RepCloudTX,0
160,WhipClyburn,0
161,Rep_Clyde,0
162,RepCohen,0
163,TomColeOK04,0
164,RepJamesComer,0
165,GerryConnolly,0
166,RepLouCorrea,0
167,RepJimCosta,0
168,RepJoeCourtney,0
169,RepAngieCraig,0
170,RepCharlieCrist,0
171,RepJasonCrow,0
172,RepJohnCurtis,0
173,RepDavids,0
174,WarrenDavidson,0
175,RodneyDavis,0
176,RepDean,0
177,RepPeterDeFazio,0
178,RepDianaDeGette,0
179,rosadelauro,0
180,RepDelBene,0
181,repdelgado,0
182,RepValDemings,0
183,RepDeSaulnier,0
184,RepTedDeutch,0
185,MarioDB,0
186,RepDebDingell,0
187,RepLloydDoggett,0
188,RepDonaldsPress,0
189,USRepMikeDoyle,0
190,RepJeffDuncan,0
191,DrNealDunnFL2,0
192,RepTomEmmer,0
193,RepEscobar,0
194,RepAnnaEshoo,0
195,RepEspaillat,0
196,RepRonEstes,0
197,RepDwightEvans,0
198,RepPatFallon,0
199,RepFeenstra,0
200,RepDrewFerguson,0
201,RepFischbach,0
202,RepBrianFitz,0
203,RepChuck,0
204,RepFletcher,0
205,RepBillFoster,0
206,virginiafoxx,0
207,RepLoisFrankel,0
208,RepFranklin,0
209,RepRussFulcher,0
210,RepMattGaetz,0
211,RepGallagher,0
212,RepRubenGallego,0
213,RepGaramendi,0
214,RepGarbarino,0
215,RepChuyGarcia,0
216,RepMikeGarcia,0
217,RepSylviaGarcia,0
218,RepBobGibbs,0
219,RepCarlos,0
220,replouiegohmert,0
221,RepGolden,0
222,RepJimmyGomez,0
223,RepTonyGonzales,0
224,RepJenniffer,0
225,RepGonzalez,0
226,RepBobGood,0
227,Lancegooden,0
228,RepGosar,0
229,RepJoshG,0
230,RepKayGranger,0
231,RepGarretGraves,0
232,RepAlGreen,0
233,RepMarkGreen,0
234,RepMTG,0
235,RepMGriffith,0
236,RepRaulGrijalva,0
237,RepGrothman,0
238,RepMichaelGuest,0
239,RepGuthrie,0
240,RepJoshHarder,0
241,RepHarshbarger,0
242,RepHartzler,0
243,RepJahanaHayes,0
244,repkevinhern,0
245,RepHerrell,0
246,CongressmanHice,0
247,RepBrianHiggins,0
248,RepClayHiggins,0
249,RepFrenchHill,0
250,jahimes,0
251,RepAshleyHinson,0
252,RepHorsford,0
253,RepHoulahan,0
254,LeaderHoyer,0
255,RepRichHudson,0
256,RepHuffman,0
257,RepHuizenga,0
258,repdarrellissa,0
259,JacksonLeeTX18,0
260,RepRonnyJackson,0
261,RepJacobs,0
262,RepSaraJacobs,0
263,RepJayapal,0
264,RepJeffries,0
265,RepBillJohnson,0
266,RepDustyJohnson,0
267,RepEBJ,0
268,RepHankJohnson,0
269,RepMikeJohnson,0
270,RepMondaire,0
271,Jim_Jordan,0
272,RepDaveJoyce,0
273,RepJohnJoyce,0
