id,name,party
0,SenatorBaldwin,0
1,SenJohnBarrasso,0
2,SenatorBennet,0
3,MarshaBlackburn,0
4,SenBlumenthal,0
5,RoyBlunt,0
6,CoryBooker,0
7,JohnBoozman,0
8,SenatorBraun,0
9,SenSherrodBrown,0
10,SenatorCantwell,0
11,SenCapito,0
12,SenatorCardin,0
13,SenatorCarper,0
14,SenBobCasey,0
15,SenBillCassidy,0
16,ChrisCoons,0
17,JohnCornyn,0
18,SenCortezMasto,0
19,SenTomCotton,0
20,SenKevinCramer,0
21,MikeCrapo,0
22,SenTedCruz,0
23,SteveDaines,0
24,SenDuckworth,0
25,SenatorDurbin,0
26,SenJoniErnst,0
27,SenFeinstein,0
28,SenatorFischer,0
29,SenGillibrand,0
30,LindseyGrahamSC,0
31,ChuckGrassley,0
32,SenatorHagerty,0
33,SenatorHassan,0
34,HawleyMO,0
35,MartinHeinrich,0
36,SenatorHick,0
37,maziehirono,0
38,SenJohnHoeven,0
39,SenHydeSmith,0
40,JimInhofe,0
41,SenRonJohnson,0
42,timkaine,0
43,SenMarkKelly,0
44,SenJohnKennedy,0
45,SenAngusKing,0
46,SenAmyKlobuchar,0
47,SenatorLankford,0
48,SenatorLeahy,0
49,SenMikeLee,0
50,SenatorLujan,0
51,SenLummis,0
52,Sen_JoeManchin,0
53,SenMarkey,0
54,SenatorMenendez,0
55,SenJeffMerkley,0
56,JerryMoran,0
57,lisamurkowski,0
58,ChrisMurphyCT,0
59,PattyMurray,0
60,ossoff,0
61,SenAlexPadilla,0
62,RandPaul,0
63,SenGaryPeters,0
64,senrobportman,0
65,SenJackReed,0
66,SenatorRisch,0
67,SenatorRomney,0
68,SenJackyRosen,0
69,marcorubio,0
70,SenSanders,0
71,SenSchumer,0
72,SenRickScott,0
73,SenatorTimScott,0
74,SenatorShaheen,0
75,SenatorSinema,0
76,SenTinaSmith,0
77,SenStabenow,0
78,SenDanSullivan,0
79,SenatorTester,0
80,SenJohnThune,0
81,SenThomTillis,0
82,SenToomey,0
83,SenTuberville,0
84,ChrisVanHollen,0
85,MarkWarner,0
86,SenatorWarnock,0
87,SenWarren,0
88,SenWhitehouse,0
89,SenatorWicker,0
90,RonWyden,0
91,SenToddYoung,0
93,Robert_Aderholt,0
115,SanfordBishop,0
123,CongBoyle,0
129,VernBuchanan,0
134,michaelcburgess,0
144,JudgeCarter,0
148,USRepKCastor,0
149,JoaquinCastrotx,0
153,CongresswomanSC,0
157,repcleaver,0
160,WhipClyburn,0
163,TomColeOK04,0
165,GerryConnolly,0
174,WarrenDavidson,0
175,RodneyDavis,0
179,rosadelauro,0
181,repdelgado,0
185,MarioDB,0
189,USRepMikeDoyle,0
191,DrNealDunnFL2,0
206,virginiafoxx,0
220,replouiegohmert,0
227,Lancegooden,0
244,repkevinhern,0
246,CongressmanHice,0
250,jahimes,0
254,LeaderHoyer,0
258,repdarrellissa,0
259,JacksonLeeTX18,0
271,Jim_Jordan,0
275,USRepKeating,0
277,MikeKellyPA,0
286,CongressmanRaja,0
291,JimLangevin,0
294,boblatta,0
306,USRepLong,0
320,DorisMatsui,0
322,GOPLeader,0
325,BettyMcCollum04,0
328,PatrickMcHenry,0
347,gracenapolitano,0
353,DonaldNorcross,0
355,EleanorNorton,0
357,JayObernolte,0
358,Ilhan,0
360,CongPalazzo,0
361,FrankPallone,0
362,USRepGaryPalmer,0
365,BillPascrell,0
367,SpeakerPelosi,0
372,chelliepingree,0
373,StaceyPlaskett,0
374,repmarkpocan,0
380,GReschenthaler,0
383,cathymcmorris,0
392,Call_Me_Dutch,0
395,Kilili_Sablan,0
399,SteveScalise,0
401,janschakowsky,0
407,AustinScottGA08,0
408,BobbyScott,0
409,PeteSessions,0
411,BradSherman,0
413,CongMikeSimpson,0
437,claudiatenney,0
438,BennieGThompson,0
442,repdinatitus,0
445,NormaJTorres,0
455,NydiaVelazquez,0
459,michaelgwaltz,0
463,PeterWelch,0
471,RobWittman,0
472,rep_stevewomack,0
